id,input_text,target_language,human_translated_text,clean_text,detected_lang,moderation_status,emotion_label,input_token_count,human_translation_token_count
659,क्या आप अंग्रेज़ी बोलते हैं?,ta,நீங்கள் ஆங்கிலம் பேசுவீர்களா?,क्या आप अंग्रेज़ी बोलते हैं?,hi,approved,joy,46,81
660,क्या आप हिन्दी बोलते हैं?,ta,நீங்கள் हिन्दी பேசுவீர்களா?,क्या आप हिन्दी बोलते हैं?,hi,approved,joy,40,68
661,"हाँ, थोड़ी सी",ta,"ஆம், கொஞ்சம்","हाँ, थोड़ी सी",hi,approved,joy,20,32
662,माफ कीजिए,ta,மன்னிக்கவும்,माफ कीजिए,hi,approved,joy,15,36
663,धन्यवाद,ta,நன்றி,धन्यवाद,ne,approved,joy,13,15
664,टॉयलेट कहाँ है?,ta,கழிப்பறை எங்கே?,टॉयलेट कहाँ है?,hi,approved,anger,24,41
665,मदद!,ta,உதவி!,मदद!,hi,approved,joy,7,13
666,आग!,ta,தீ!,आग!,mr,approved,joy,5,7
667,रुकिए!,ta,நிறுத்து!,रुकिए!,ne,approved,joy,11,25
668,पुलिस को बुलाओ!,ta,காவல்துறையினரை அழைக்கவும்!,पुलिस को बुलाओ!,ne,approved,joy,24,74
669,जन्मदिन मुबारक हो,ta,பிறந்தநாள் வாழ்த்துக்கள்,जन्मदिन मुबारक हो,ne,approved,joy,29,70
670,नये साल की शुभकामनाएँ,ta,புத்தாண்டு வாழ்த்துக்கள்,नये साल की शुभकामनाएँ,hi,approved,joy,33,70
671,ईस्टर की शुभकामनाएँ,ta,ஈஸ்டர் வாழ்த்துக்கள்,ईस्टर की शुभकामनाएँ,hi,approved,joy,32,58
672,बधाई!,ta,வாழ்த்துக்கள்!,बधाई!,ne,approved,anger,8,40
673,पानी बचाओ,ta,தண்ணீரை சேமிக்கவும்,पानी बचाओ,mr,approved,joy,14,55
